"","GupDM_A_11","GupDM_A_15","GupDM_A1","GupDM_A10","GupDM_A12","GupDM_A13","GupDM_A14","GupDM_A2","GupDM_A3","GupDM_A4","GupDM_A5","GupDM_A6","GupDM_A7","GupDM_A8","GupDM_A9","GupDM_HAG","GupDM_HAH","GupDM_HAI","GupDM_HAJ","GupDM_HAK","GupDM_HAL","GupDM_HAM","GupDM_HAN","GupDM_HAO","GupDM_HAP","GupDM_HAR","GupDM_HAT","GupDM_HBR","GupDM_HCL","GupDM_HCM","GupDM_HCN","GupDM_HCO","GupDM_HCP","GupDM_HCQ","GupDM_HCR","GupDM_HCS","GupDM_HCT","GupDM_HCU","GupDM_HCV","GupDM_HCY","GupDM_HDB","GupDM_HDF","GupDM_HP","GupDM_HR","GupDM_HS","GupDM_JA","GupDM_JB","GupDM_JC","GupDM_JD","GupDM_JE","GupDM_JG","GupDM_JH","GupDM_JI","GupDM_JJ","GupDM_JK","GupDM_JL","GupDM_JM","GupDM_JN","GupDM_JO","GupDM_JP"
"PWY-7221: guanosine ribonucleotides de novo biosynthesis",0.000659717444,0.000594575629,0.00055634887,0.000517009883,0.000546778457,0.000543149572,0.000741669145,0.00126093715,0.000876844588,0.00100850135,0.00100342404,0.00081783447,0.000780382698,0.000597241075,0.000922598264,0.00148370696,0.001355243001,0.00148215952,0.00084042669,0.001207977276,0.001082428603,0.00066339877,0.001010448045,0.001009149497,0.00154486753,0.0019654118,0.00111114149,0.001106450067,0.00235899963,0.00127604633,0.000716068766,0.0015579207,0.000688959199,0.00100463805,0.00127188331,0.00146677203,0.00154057819,0.001041088835,0.00142512311,0.000350310855,0.00109013012,0.00081762553,0.00134199054,0.001475144922,0.001509035916,0.00125088829,0.001105831206,0.000823629789,0.00073599088,0.001052063942,0.000838688964,0.00076525728,0.000980959426,0.00067547363,0.000934903995,0.001345709393,0.000763744204,0.000706860288,0.000960062077,0.000901346937
"PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II",0.000719330493,0.000853786065,0.000595567807,0.0006693701473,0.000596954479,0.000481720363,0.00057980526,0.00050731454,0.00066893231,0.000506329175,0.000626661277,0.000418815471,0.000546499603,0.000935087072,0.000624116312,0.00014313747,0.000133619098,0.00032209422,0.000501536822,0.00021493489,0.00028551111,0.000461555364,0.000599828238,0.000274662084,0.0002230808,0.0001165409,0.00027709921,0.000398119914,0.00030588199,0.00021401063,0.000268830522,0.00039871822,0.000434778156,0.000388134761,0.00031385105,0.00021755714,0.00036551396,0.00071850299,0.0004004243,0.00018262127,0.000447208813,0.00055624454,0.00041430975,0.00027548206,0.000268515653,0.00031124281,0.000433636755,0.000673913395,0.000596999037,0.000468012569,0.0004302746,0.00064635264,0.000546181262,0.000546991954,0.00057302584,0.00036732309,0.00072591492,0.000655758198,0.00060863295,0.00039059805
"PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I",0.000325970447,0.000204104428,0.000395993928,0.000418463178,0.000469362043,0.000383298041,0.000597684495,0.00019659764,0.00065759097,0.00023008992,0.00041771648,0.00013381976,0.00052234135,0.000263384956,0.0003881606,0.00023310932,0.0001016415,0.00043850058,0.00047490163,0.000275794613,0.00033773131,0.000279149775,0.00060737982,0.000390680147,0.0002357124,0.00018587997,0.00021143615,0.0003784231,0.0004503737,0.0002035543,0.00031053487,0.0005253267,0.000448890115,0.00025117951,0.00023626873,0.00023121573,0.00022416911,0.00074379009,0.0005326291,0.00014371333,0.00039698174,0.0005617322,0.00042715932,0.00035549344,0.00037719726,0.00030809528,0.000571236713,0.000614734124,0.00051781405,0.0006122704,0.0002165039,0.00063669578,0.000597390392,0.00045633982,0.00067345449,0.000340526613,0.00065294242,0.000590371763,0.000637554725,0.000413414201
"PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I",0.00069223154,0.00045503198,0.000508602163,0.000568030067,0.00059396343,0.000525082523,0.00049462598,0.00057952482,0.0005579602,0.00056412987,0.000663259333,0.00057584894,0.00056862209,0.000481873181,0.00056363913,0.00032129483,0.00021377455,0.0004428327,0.0005158178,0.00036902286,0.0004250606,0.000465392992,0.0005836866,0.0003754246,0.00037613371,0.000200422,0.00040215386,0.00043710626,0.0004850603,0.0002992803,0.00042533318,0.00047966781,0.0004444865,0.00050817935,0.00053722246,0.00049504068,0.0005090322,0.00056661083,0.0005074323,0.00023074049,0.00049853857,0.00061471633,0.00056362551,0.00041989444,0.00043330987,0.000537942,0.00050467053,0.00052810713,0.00047063491,0.00055027221,0.0005530804,0.00045806935,0.00050346987,0.0004757231,0.000525051448,0.00057633381,0.000494260514,0.00045404467,0.00055214124,0.00051388859
"PWY-7234: inosine-5'-phosphate biosynthesis III",0.00017386822,0.000236287813,0.0002447444367,0.000289819244,0.00022435033,0.000239045223,0.00015833456,0.00010700748,0.00016808387,4.875889e-05,5.228423e-05,0.0002951817,0.00022930194,0.000237103814,0.00021588045,0,5.674997e-05,2.859408e-05,8.548323e-05,8.77738e-05,8.353725e-05,0.000161119984,0.00017290361,3.012755e-05,8.197789e-05,0,1.53393e-05,0.0001042417,0,0.00013623539,3.457698e-05,1.54407e-05,0.0001215185,0.00027217367,2.238048e-05,6.09944e-05,0.00023504673,0.00018990987,2.61358e-05,5.55992e-05,0.0001065942,0.00013884799,5.51415e-05,3.095805e-05,8.61289e-06,6.713593e-05,5.04719e-05,0.0001111392,0.0001482109,0.000241646,0.00024773986,2.83561e-05,0.0001056072,0.00010224489,0.0001614845,8.014559e-05,6.68772e-05,5.11344e-05,8.54025e-05,0.00023342155
"PWY-7237: myo-, chiro- and scillo-inositol degradation",6.667465e-05,0.000171803611,0.0001968353012,0.000267517077,0.000641841007,0.00033847142,0.000210310185,0.0001365221,0.00030503671,0.00050707531,0.000340662514,0.00018716567,0.00044246126,0.000175630164,0.000377576433,0.00100755831,0.0011222803,0.00099239302,0.00037428602,0.00094007613,0.000652220215,0.000208069191,0.000687653512,0.00058913885,0.000965357562,0.0014651563,0.000802379613,0.00062413691,0.00169327535,0.00113864175,0.000391194686,0.0009487421,0.00014006351,0.000329799158,0.00043099225,0.00091201825,0.000265127336,0.000373180269,0.0008404755,0.00024551238,0.00060603861,0.00063491592,0.00083250227,0.00113417131,0.001027889096,0.00037409918,0.00039931985,0.000306828764,0.00015954302,0.00026385595,0.000247782423,0.00013213437,0.000323471625,0.00013458124,0.000213035588,0.00037876401,0.00020235521,0.00021961214,0.000288059669,0.000227046575
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",0.0002441346,0.000407518804,0.0003559205942,0.000364694391,0.000483835145,0.00035580113,0.000341035448,0.0001880445,0.0003935666,0.00039429918,0.00038083912,0.0003609933,0.000409219062,0.000432737129,0.00050510094,0.0001529729,0.00021896084,0.00037322851,0.00043921518,0.00034842387,0.00034971684,0.000301623559,0.000463295624,0.000222861757,0.00018597598,5.747145e-05,0.00020633593,0.00040549214,0.0001806427,0.00027646643,0.000371673851,0.00033990516,0.00035216834,0.0004281792,0.00039756198,0.000384973,0.0004256613,0.00032293215,0.00033914442,0.00012510452,0.00041649322,0.000270673,0.00028903488,0.0002363083,0.00046972924,0.0003293746,0.0003353975,0.0002847785,0.00026297941,0.000378293,0.00032846088,0.00029789815,0.00031079387,0.00027956315,0.0003553288,0.0003706966,0.00028914353,0.00026409882,0.0003114681,0.00033652395
"PWY-7242: D-fructuronate degradation",6.282631e-05,0.000268289431,0.000142580551,0.000147092783,3.98128e-05,0.000142463053,9.300305e-05,1.485191e-05,1.01475e-05,0.00010090029,3.620623e-05,9.72813e-05,8.8377056e-05,0.000271345922,6.50458e-05,2.77034e-05,4.13453e-05,2.218385e-05,0.00011723288,5.464709e-05,4.289881e-05,8.234059e-05,7.67729e-05,4.066139e-05,3.448584e-05,0,3.5719e-05,6.7019e-05,2.249161e-05,6.728794e-05,4.262461e-05,0.00012921245,4.746733e-05,6.687855e-05,5.134919e-05,1.905825e-05,9.01355e-06,9.038863e-05,0.0001141125,4.565373e-05,4.416161e-05,7.418171e-05,1.3595e-05,6.49169e-06,1.755848e-05,0,5.237794e-05,5.709049e-05,4.164335e-05,0,7.467581e-05,2.86943e-05,6.342105e-05,4.118195e-05,2.17116e-05,9.31108e-06,3.735757e-05,5.064195e-05,5.640172e-05,5.688942e-05
"PWY-7245: superpathway NAD/NADP - NADH/NADPH interconversion (yeast)",0,0,2.541791e-06,6.44714e-06,4.8875997e-05,1.165643e-05,0,0,0,0,0,0,1.04775e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88055e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7254: TCA cycle VII (acetate-producers)",0.00014109417,0.00035133319,0.00025509696,0.00023121794,0.000396853874,0.00019559887,4.522783e-05,2.348849e-05,0,0,5.032174e-05,0,0.00026195888,0.00039514663,0.0002211015,1.753059e-05,4.06643e-06,0,0,5.18446e-05,7.518686e-05,0.00010248763,1.163371e-05,2.478985e-05,2.0239851e-05,0,8.739622e-05,0,0,2.955352e-05,5.62828e-06,0,3.0135516e-05,1.105127e-05,3.35808e-05,1.6447579e-05,8.246189e-05,0.00018649111,1.00978e-05,8.922557e-05,0,9.69464e-06,0,0,1.592969e-05,0,7.66183e-06,2.037186e-05,3.6227e-05,2.249943e-05,4.235039e-05,7.27026e-06,4.28541e-05,3.374286e-05,1.94499e-05,0,1.673889e-05,2.06592e-05,2.918494e-05,5.425191e-05
